iter	dst	dct	klt_sep	klt_nsep	rdot_sep	rdot_nsep
150	34.95	36.23	34.87	34.49	34.5934	33.4870
151	34.95	36.23	34.87	34.49	34.5909	33.4850
152	34.95	36.23	34.87	34.49	34.5886	33.4830
153	34.95	36.23	34.87	34.49	34.5862	33.4809
154	34.95	36.23	34.87	34.49	34.5838	33.4789
155	34.95	36.23	34.87	34.49	34.5815	33.4769
156	34.95	36.23	34.87	34.49	34.5792	33.4749
157	34.95	36.23	34.87	34.49	34.5769	33.4729
158	34.95	36.23	34.87	34.49	34.5747	33.4709
159	34.95	36.23	34.87	34.49	34.5725	33.4689
160	34.95	36.23	34.87	34.49	34.5703	33.4669
161	34.95	36.23	34.87	34.49	34.5681	33.4650
162	34.95	36.23	34.87	34.49	34.5659	33.4630
163	34.95	36.23	34.87	34.49	34.5637	33.4611
164	34.95	36.23	34.87	34.49	34.5616	33.4592
165	34.95	36.23	34.87	34.49	34.5595	33.4573
166	34.95	36.23	34.87	34.49	34.5574	33.4554
167	34.95	36.23	34.87	34.49	34.5554	33.4535
168	34.95	36.23	34.87	34.49	34.5533	33.4517
169	34.95	36.23	34.87	34.49	34.5513	33.4498
170	34.95	36.23	34.87	34.49	34.5493	33.4480
171	34.95	36.23	34.87	34.49	34.5473	33.4461
172	34.95	36.23	34.87	34.49	34.5454	33.4443
173	34.95	36.23	34.87	34.49	34.5434	33.4426
174	34.95	36.23	34.87	34.49	34.5415	33.4408
175	34.95	36.23	34.87	34.49	34.5396	33.4391
176	34.95	36.23	34.87	34.49	34.5377	33.4374
177	34.95	36.23	34.87	34.49	34.5359	33.4358
178	34.95	36.23	34.87	34.49	34.5341	33.4342
179	34.95	36.23	34.87	34.49	34.5323	33.4325
180	34.95	36.23	34.87	34.49	34.5305	33.4310
181	34.95	36.23	34.87	34.49	34.5287	33.4294
182	34.95	36.23	34.87	34.49	34.5270	33.4279
183	34.95	36.23	34.87	34.49	34.5253	33.4264
184	34.95	36.23	34.87	34.49	34.5237	33.4250
185	34.95	36.23	34.87	34.49	34.5220	33.4236
186	34.95	36.23	34.87	34.49	34.5204	33.4223
187	34.95	36.23	34.87	34.49	34.5188	33.4209
188	34.95	36.23	34.87	34.49	34.5173	33.4197
189	34.95	36.23	34.87	34.49	34.5157	33.4184
190	34.95	36.23	34.87	34.49	34.5142	33.4172
191	34.95	36.23	34.87	34.49	34.5128	33.4159
192	34.95	36.23	34.87	34.49	34.5113	33.4148
193	34.95	36.23	34.87	34.49	34.5099	33.4136
194	34.95	36.23	34.87	34.49	34.5086	33.4125
195	34.95	36.23	34.87	34.49	34.5072	33.4114
196	34.95	36.23	34.87	34.49	34.5060	33.4103
197	34.95	36.23	34.87	34.49	34.5047	33.4092
198	34.95	36.23	34.87	34.49	34.5035	33.4081
199	34.95	36.23	34.87	34.49	34.5023	33.4071
200	34.95	36.23	34.87	34.49	34.5011	33.4061
201	34.95	36.23	34.87	34.49	34.5000	33.4051
202	34.95	36.23	34.87	34.49	34.4989	33.4041
203	34.95	36.23	34.87	34.49	34.4978	33.4031
204	34.95	36.23	34.87	34.49	34.4967	33.4022
205	34.95	36.23	34.87	34.49	34.4957	33.4012
206	34.95	36.23	34.87	34.49	34.4947	33.4003
207	34.95	36.23	34.87	34.49	34.4937	33.3994
208	34.95	36.23	34.87	34.49	34.4927	33.3985
209	34.95	36.23	34.87	34.49	34.4918	33.3976
210	34.95	36.23	34.87	34.49	34.4908	33.3968
211	34.95	36.23	34.87	34.49	34.4899	33.3959
212	34.95	36.23	34.87	34.49	34.4890	33.3950
213	34.95	36.23	34.87	34.49	34.4881	33.3942
214	34.95	36.23	34.87	34.49	34.4872	33.3934
215	34.95	36.23	34.87	34.49	34.4863	33.3925
216	34.95	36.23	34.87	34.49	34.4854	33.3917
217	34.95	36.23	34.87	34.49	34.4846	33.3909
218	34.95	36.23	34.87	34.49	34.4837	33.3901
219	34.95	36.23	34.87	34.49	34.4829	33.3893
220	34.95	36.23	34.87	34.49	34.4820	33.3886
221	34.95	36.23	34.87	34.49	34.4812	33.3878
