rom	bdrate	romsym	bdratesym
10.41	-1.22	6.38	1.22
10.50	-1.23	6.38	1.23
10.59	-1.22	6.38	1.22
10.69	-1.23	6.38	1.23
10.88	-1.24	6.56	1.24
10.97	-1.23	6.56	1.23
11.16	-1.23	6.75	1.23
11.34	-1.23	6.75	1.23
11.53	-1.24	6.94	1.24
11.63	-1.22	6.94	1.22
11.72	-1.24	6.94	1.24
11.81	-1.23	6.94	1.23
12.56	-1.24	7.69	1.24
12.75	-1.24	7.69	1.24
13.13	-1.24	7.69	1.24
13.22	-1.25	7.69	1.25
13.41	-1.26	7.69	1.26
13.50	-1.24	7.69	1.24
13.59	-1.24	7.69	1.24
13.78	-1.25	7.88	1.25
13.97	-1.25	7.88	1.25
14.06	-1.23	7.88	1.23
14.25	-1.24	7.88	1.24
14.44	-1.24	7.88	1.24
14.63	-1.25	7.88	1.25
14.81	-1.24	7.88	1.24
15.00	-1.24	7.88	1.24
15.19	-1.24	7.88	1.24
15.56	-1.25	8.25	1.25
15.75	-1.25	8.25	1.25
15.94	-1.25	8.25	1.25
16.13	-1.25	8.25	1.25
16.31	-1.25	8.25	1.25
16.69	-1.26	8.63	1.26
16.88	-1.25	8.63	1.25
17.06	-1.24	8.63	1.24
17.44	-1.25	9.00	1.25
17.81	-1.26	9.38	1.26
18.00	-1.25	9.38	1.25
18.38	-1.26	9.75	1.26
18.75	-1.26	9.75	1.26
18.94	-1.26	9.75	1.26
19.13	-1.25	9.75	1.25
19.50	-1.25	10.13	1.25
19.69	-1.23	10.13	1.23
20.06	-1.25	10.50	1.25
20.44	-1.25	10.50	1.25
20.63	-1.25	10.50	1.25
0.56	-0.38	0.38	0.38
0.61	-0.47	0.42	0.47
0.66	-0.56	0.42	0.56
0.70	-0.60	0.47	0.60
0.75	-0.65	0.52	0.65
0.80	-0.69	0.56	0.69
0.84	-0.73	0.61	0.73
0.89	-0.75	0.66	0.75
0.94	-0.76	0.70	0.76
0.98	-0.79	0.75	0.79
1.03	-0.81	0.75	0.81
1.08	-0.83	0.80	0.83
1.13	-0.83	0.84	0.83
1.17	-0.85	0.89	0.85
1.22	-0.85	0.89	0.85
1.27	-0.86	0.94	0.86
1.31	-0.86	0.98	0.86
1.36	-0.88	0.98	0.88
1.45	-0.89	1.08	0.89
1.50	-0.90	1.13	0.90
1.69	-0.93	1.31	0.93
1.73	-0.94	1.31	0.94
1.78	-0.95	1.36	0.95
1.83	-0.96	1.41	0.96
1.88	-0.96	1.41	0.96
1.92	-0.97	1.41	0.97
1.97	-0.98	1.41	0.98
2.34	-1.00	1.78	1.00
2.39	-1.01	1.78	1.01
2.44	-1.02	1.78	1.02
2.48	-1.02	1.78	1.02
2.53	-1.03	1.83	1.03
2.58	-1.02	1.88	1.02
2.63	-1.03	1.88	1.03
2.67	-1.03	1.88	1.03
2.77	-1.04	1.97	1.04
2.86	-1.06	2.06	1.06
2.91	-1.07	2.06	1.07
3.09	-1.09	2.25	1.09
3.14	-1.10	2.30	1.10
3.23	-1.12	2.30	1.12
3.28	-1.13	2.30	1.13
3.33	-1.14	2.30	1.14
3.38	-1.15	2.30	1.15
3.42	-1.16	2.30	1.16
3.47	-1.16	2.34	1.16
3.52	-1.17	2.34	1.17
3.56	-1.17	2.34	1.17
3.75	-1.18	2.53	1.18
3.80	-1.19	2.58	1.19
3.84	-1.19	2.58	1.19
4.59	-1.19	3.33	1.19
4.64	-1.20	3.33	1.20
4.73	-1.20	3.42	1.20
4.78	-1.20	3.42	1.20
4.83	-1.21	3.42	1.21
4.88	-1.22	3.47	1.22
4.97	-1.22	3.56	1.22
5.16	-1.23	3.56	1.23
5.20	-1.23	3.56	1.23
5.25	-1.23	3.56	1.23
5.63	-1.23	3.94	1.23
5.67	-1.23	3.94	1.23
5.72	-1.24	3.94	1.24
5.77	-1.25	3.94	1.25
5.81	-1.25	3.94	1.25
5.86	-1.25	3.94	1.25
5.95	-1.26	4.03	1.26
6.14	-1.26	4.22	1.26
6.19	-1.26	4.22	1.26
6.23	-1.27	4.22	1.27
6.28	-1.27	4.22	1.27
6.38	-1.27	4.22	1.27
6.47	-1.27	4.31	1.27
6.52	-1.27	4.31	1.27
6.56	-1.27	4.31	1.27
6.75	-1.27	4.50	1.27
6.84	-1.28	4.59	1.28
6.89	-1.27	4.59	1.27
7.27	-1.28	4.97	1.28
7.31	-1.28	4.97	1.28
7.36	-1.28	4.97	1.28
7.41	-1.27	4.97	1.27
7.50	-1.28	4.97	1.28
7.55	-1.28	4.97	1.28
7.64	-1.28	5.06	1.28
7.73	-1.28	5.06	1.28
7.83	-1.29	5.16	1.29
7.88	-1.29	5.16	1.29
7.97	-1.30	5.16	1.30
8.06	-1.30	5.16	1.30
8.11	-1.29	5.16	1.29
8.20	-1.30	5.25	1.30
8.39	-1.31	5.44	1.31
