iter	dct	rdot_sep	rdot_nsep
494	27.04	26.0057	24.4128
495	27.04	26.0056	24.4127
496	27.04	26.0054	24.4126
497	27.04	26.0053	24.4125
498	27.04	26.0052	24.4124
499	27.04	26.0050	24.4123
500	27.04	26.0049	24.4122
501	27.04	26.0047	24.4121
502	27.04	26.0046	24.4120
503	27.04	26.0045	24.4119
504	27.04	26.0043	24.4118
505	27.04	26.0042	24.4117
506	27.04	26.0040	24.4116
507	27.04	26.0039	24.4115
508	27.04	26.0038	24.4114
509	27.04	26.0036	24.4113
510	27.04	26.0035	24.4112
511	27.04	26.0034	24.4111
512	27.04	26.0032	24.4110
513	27.04	26.0031	24.4109
514	27.04	26.0030	24.4108
515	27.04	26.0029	24.4106
516	27.04	26.0027	24.4105
517	27.04	26.0026	24.4104
518	27.04	26.0025	24.4103
519	27.04	26.0023	24.4102
520	27.04	26.0022	24.4101
521	27.04	26.0021	24.4100
522	27.04	26.0020	24.4099
523	27.04	26.0018	24.4098
524	27.04	26.0017	24.4097
525	27.04	26.0016	24.4096
526	27.04	26.0014	24.4095
527	27.04	26.0013	24.4094
528	27.04	26.0012	24.4093
529	27.04	26.0011	24.4092
530	27.04	26.0010	24.4091
531	27.04	26.0008	24.4090
532	27.04	26.0007	24.4089
533	27.04	26.0006	24.4088
534	27.04	26.0005	24.4087
535	27.04	26.0003	24.4086
536	27.04	26.0002	24.4085
537	27.04	26.0001	24.4084
538	27.04	26.0000	24.4083
539	27.04	25.9999	24.4082
540	27.04	25.9997	24.4081
541	27.04	25.9996	24.4080
542	27.04	25.9995	24.4079
543	27.04	25.9994	24.4078
544	27.04	25.9993	24.4077
545	27.04	25.9992	24.4076
546	27.04	25.9991	24.4075
547	27.04	25.9990	24.4074
548	27.04	25.9988	24.4073
549	27.04	25.9987	24.4072
550	27.04	25.9986	24.4071
551	27.04	25.9985	24.4070
552	27.04	25.9984	24.4069
553	27.04	25.9983	24.4068
554	27.04	25.9982	24.4067
555	27.04	25.9981	24.4066
556	27.04	25.9980	24.4065
557	27.04	25.9979	24.4065
558	27.04	25.9978	24.4064
559	27.04	25.9977	24.4063
560	27.04	25.9976	24.4062
561	27.04	25.9975	24.4061
562	27.04	25.9974	24.4060
563	27.04	25.9973	24.4059
564	27.04	25.9972	24.4058
565	27.04	25.9971	24.4057
566	27.04	25.9969	24.4056
567	27.04	25.9968	24.4055
568	27.04	25.9968	24.4054
569	27.04	25.9967	24.4053
570	27.04	25.9966	24.4052
571	27.04	25.9965	24.4051
572	27.04	25.9964	24.4050
573	27.04	25.9963	24.4050
574	27.04	25.9962	24.4049
575	27.04	25.9961	24.4048
576	27.04	25.9960	24.4047
577	27.04	25.9959	24.4046
578	27.04	25.9958	24.4045
579	27.04	25.9957	24.4044
580	27.04	25.9956	24.4043
581	27.04	25.9955	24.4042
582	27.04	25.9954	24.4041
583	27.04	25.9953	24.4041
584	27.04	25.9952	24.4040
585	27.04	25.9951	24.4039
586	27.04	25.9950	24.4038
587	27.04	25.9950	24.4037
588	27.04	25.9949	24.4036
589	27.04	25.9948	24.4035
590	27.04	25.9947	24.4034
591	27.04	25.9946	24.4034
592	27.04	25.9945	24.4033
593	27.04	25.9944	24.4032
594	27.04	25.9943	24.4031
595	27.04	25.9943	24.4030
596	27.04	25.9942	24.4029
597	27.04	25.9941	24.4029
598	27.04	25.9940	24.4028
599	27.04	25.9939	24.4027
600	27.04	25.9938	24.4026
601	27.04	25.9937	24.4025
602	27.04	25.9937	24.4025
603	27.04	25.9936	24.4024
604	27.04	25.9935	24.4023
605	27.04	25.9934	24.4022
606	27.04	25.9933	24.4021
607	27.04	25.9932	24.4021
608	27.04	25.9932	24.4020
609	27.04	25.9931	24.4019
610	27.04	25.9930	24.4018
611	27.04	25.9929	24.4018
612	27.04	25.9928	24.4017
613	27.04	25.9927	24.4016
614	27.04	25.9927	24.4015
615	27.04	25.9926	24.4015
616	27.04	25.9925	24.4014
617	27.04	25.9924	24.4013
618	27.04	25.9923	24.4012
619	27.04	25.9923	24.4012
620	27.04	25.9922	24.4011
621	27.04	25.9921	24.4010
622	27.04	25.9920	24.4009
623	27.04	25.9919	24.4009
624	27.04	25.9919	24.4008
625	27.04	25.9918	24.4007
626	27.04	25.9917	24.4006
627	27.04	25.9916	24.4006
628	27.04	25.9916	24.4005
629	27.04	25.9915	24.4004
630	27.04	25.9914	24.4003
631	27.04	25.9913	24.4003
632	27.04	25.9912	24.4002
633	27.04	25.9912	24.4001
634	27.04	25.9911	24.4001
635	27.04	25.9910	24.4000
636	27.04	25.9909	24.3999
637	27.04	25.9909	24.3998
638	27.04	25.9908	24.3998
639	27.04	25.9907	24.3997
640	27.04	25.9906	24.3996
641	27.04	25.9906	24.3996
642	27.04	25.9905	24.3995
643	27.04	25.9904	24.3994
644	27.04	25.9903	24.3994
645	27.04	25.9902	24.3993
646	27.04	25.9902	24.3992
647	27.04	25.9901	24.3992
648	27.04	25.9900	24.3991
649	27.04	25.9899	24.3990
650	27.04	25.9899	24.3990
651	27.04	25.9898	24.3989
652	27.04	25.9897	24.3989
653	27.04	25.9896	24.3988
654	27.04	25.9896	24.3987
655	27.04	25.9895	24.3987
656	27.04	25.9894	24.3986
657	27.04	25.9893	24.3985
658	27.04	25.9893	24.3985
659	27.04	25.9892	24.3984
660	27.04	25.9891	24.3984
661	27.04	25.9890	24.3983
662	27.04	25.9890	24.3983
663	27.04	25.9889	24.3982
664	27.04	25.9888	24.3981
665	27.04	25.9888	24.3981
666	27.04	25.9887	24.3980
667	27.04	25.9886	24.3980
668	27.04	25.9885	24.3979
669	27.04	25.9885	24.3979
670	27.04	25.9884	24.3978
671	27.04	25.9883	24.3978
672	27.04	25.9883	24.3977
673	27.04	25.9882	24.3976
674	27.04	25.9881	24.3976
675	27.04	25.9880	24.3975
676	27.04	25.9880	24.3975
677	27.04	25.9879	24.3974
678	27.04	25.9878	24.3974
679	27.04	25.9878	24.3973
680	27.04	25.9877	24.3973
681	27.04	25.9876	24.3972
682	27.04	25.9876	24.3972
683	27.04	25.9875	24.3971
684	27.04	25.9874	24.3971
685	27.04	25.9873	24.3970
686	27.04	25.9873	24.3970
687	27.04	25.9872	24.3969
688	27.04	25.9871	24.3969
689	27.04	25.9871	24.3968
690	27.04	25.9870	24.3968
691	27.04	25.9869	24.3967
692	27.04	25.9869	24.3966
693	27.04	25.9868	24.3966
694	27.04	25.9867	24.3965
695	27.04	25.9866	24.3965
696	27.04	25.9866	24.3964
697	27.04	25.9865	24.3964
698	27.04	25.9864	24.3963
699	27.04	25.9864	24.3963
700	27.04	25.9863	24.3962
701	27.04	25.9862	24.3962
702	27.04	25.9861	24.3961
703	27.04	25.9861	24.3961
704	27.04	25.9860	24.3960
705	27.04	25.9859	24.3960
706	27.04	25.9859	24.3959
707	27.04	25.9858	24.3959
708	27.04	25.9857	24.3958
709	27.04	25.9857	24.3958
710	27.04	25.9856	24.3957
711	27.04	25.9855	24.3957
712	27.04	25.9854	24.3956
713	27.04	25.9854	24.3956
714	27.04	25.9853	24.3955
715	27.04	25.9852	24.3955
716	27.04	25.9852	24.3954
717	27.04	25.9851	24.3954
718	27.04	25.9850	24.3953
719	27.04	25.9850	24.3953
720	27.04	25.9849	24.3952
721	27.04	25.9848	24.3952
722	27.04	25.9848	24.3952
723	27.04	25.9847	24.3951
724	27.04	25.9846	24.3951
725	27.04	25.9845	24.3950
726	27.04	25.9845	24.3950
727	27.04	25.9844	24.3949
728	27.04	25.9843	24.3949
729	27.04	25.9843	24.3948
730	27.04	25.9842	24.3948
731	27.04	25.9841	24.3947
732	27.04	25.9841	24.3947
733	27.04	25.9840	24.3946
734	27.04	25.9839	24.3946
735	27.04	25.9839	24.3945
736	27.04	25.9838	24.3945
737	27.04	25.9837	24.3945
738	27.04	25.9836	24.3944
739	27.04	25.9836	24.3944
740	27.04	25.9835	24.3943
741	27.04	25.9834	24.3943
742	27.04	25.9834	24.3942
743	27.04	25.9833	24.3942
744	27.04	25.9832	24.3941
745	27.04	25.9832	24.3941
746	27.04	25.9831	24.3940
747	27.04	25.9830	24.3940
748	27.04	25.9830	24.3939
749	27.04	25.9829	24.3939
750	27.04	25.9828	24.3939
751	27.04	25.9828	24.3938
752	27.04	25.9827	24.3938
753	27.04	25.9826	24.3937
754	27.04	25.9825	24.3937
755	27.04	25.9825	24.3936
756	27.04	25.9824	24.3936
757	27.04	25.9823	24.3935
758	27.04	25.9823	24.3935
759	27.04	25.9822	24.3935
760	27.04	25.9821	24.3934
761	27.04	25.9821	24.3934
762	27.04	25.9820	24.3933
763	27.04	25.9819	24.3933
764	27.04	25.9819	24.3932
765	27.04	25.9818	24.3932
766	27.04	25.9817	24.3931
767	27.04	25.9816	24.3931
768	27.04	25.9816	24.3930
769	27.04	25.9815	24.3930
770	27.04	25.9814	24.3930
771	27.04	25.9814	24.3929
772	27.04	25.9813	24.3929
773	27.04	25.9812	24.3928
774	27.04	25.9812	24.3928
775	27.04	25.9811	24.3927
776	27.04	25.9810	24.3927
777	27.04	25.9810	24.3926
778	27.04	25.9809	24.3926
779	27.04	25.9808	24.3925
780	27.04	25.9808	24.3925
781	27.04	25.9807	24.3924
782	27.04	25.9806	24.3924
783	27.04	25.9806	24.3924
784	27.04	25.9805	24.3923
785	27.04	25.9804	24.3923
786	27.04	25.9804	24.3922
787	27.04	25.9803	24.3922
788	27.04	25.9802	24.3921
789	27.04	25.9802	24.3921
790	27.04	25.9801	24.3920
791	27.04	25.9800	24.3920
792	27.04	25.9800	24.3919
793	27.04	25.9799	24.3919
794	27.04	25.9798	24.3918
795	27.04	25.9798	24.3918
796	27.04	25.9797	24.3917
797	27.04	25.9796	24.3917
798	27.04	25.9796	24.3916
799	27.04	25.9795	24.3916
800	27.04	25.9794	24.3915
801	27.04	25.9794	24.3915
802	27.04	25.9793	24.3915
803	27.04	25.9792	24.3914
804	27.04	25.9792	24.3914
805	27.04	25.9791	24.3913
806	27.04	25.9791	24.3913
807	27.04	25.9790	24.3912
808	27.04	25.9789	24.3912
809	27.04	25.9789	24.3911
810	27.04	25.9788	24.3911
811	27.04	25.9787	24.3910
812	27.04	25.9787	24.3910
813	27.04	25.9786	24.3909
814	27.04	25.9786	24.3909
815	27.04	25.9785	24.3909
816	27.04	25.9784	24.3908
817	27.04	25.9784	24.3908
818	27.04	25.9783	24.3907
819	27.04	25.9782	24.3907
820	27.04	25.9782	24.3906
821	27.04	25.9781	24.3906
822	27.04	25.9781	24.3905
823	27.04	25.9780	24.3905
824	27.04	25.9780	24.3904
825	27.04	25.9779	24.3904
826	27.04	25.9778	24.3903
827	27.04	25.9778	24.3903
828	27.04	25.9777	24.3902
829	27.04	25.9777	24.3902
830	27.04	25.9776	24.3901
831	27.04	25.9776	24.3901
832	27.04	25.9775	24.3901
833	27.04	25.9774	24.3900
834	27.04	25.9774	24.3900
835	27.04	25.9773	24.3899
836	27.04	25.9773	24.3899
837	27.04	25.9772	24.3898
838	27.04	25.9772	24.3898
839	27.04	25.9771	24.3897
840	27.04	25.9771	24.3897
841	27.04	25.9770	24.3896
842	27.04	25.9770	24.3896
843	27.04	25.9769	24.3895
844	27.04	25.9769	24.3895
845	27.04	25.9768	24.3894
846	27.04	25.9768	24.3894
847	27.04	25.9767	24.3893
848	27.04	25.9767	24.3893
849	27.04	25.9766	24.3892
850	27.04	25.9766	24.3892
851	27.04	25.9765	24.3891
852	27.04	25.9765	24.3891
853	27.04	25.9764	24.3890
854	27.04	25.9764	24.3890
855	27.04	25.9763	24.3889
856	27.04	25.9763	24.3889
857	27.04	25.9762	24.3888
858	27.04	25.9762	24.3888
859	27.04	25.9761	24.3887
860	27.04	25.9761	24.3887
861	27.04	25.9761	24.3886
862	27.04	25.9760	24.3886
863	27.04	25.9760	24.3885
864	27.04	25.9759	24.3885
865	27.04	25.9759	24.3884
866	27.04	25.9758	24.3884
867	27.04	25.9758	24.3883
868	27.04	25.9757	24.3883
869	27.04	25.9757	24.3882
870	27.04	25.9757	24.3882
